"id","mbar","swc"
"7-2CL",100,0.259601164626171
"7-2CL",200,0.250504442162815
"7-2CL",500,0.242173383149392
"7-2CL",1000,0.229823411948238
"7-2CL",2000,0.220913361972936
"7-2CL",5000,0.214012081066606
"7-2CL",10000,0.206780575645333
"7-2CL",15000,0.201421662425983
"7-2CU",0,0.348371394996541
"7-2CU",33,0.273482691471319
"7-2CU",50,0.267136097304011
"7-2CU",100,0.260204104247269
"7-2CU",200,0.250336620191297
"7-2CU",500,0.242149268785627
"7-2CU",1000,0.230206677422913
"7-2CU",2000,0.220297656198728
"7-2CU",5000,0.211983154544426
"7-2CU",10000,0.202989689251367
"7-2CU",15000,0.197982624802987
"7-3AL",0,0.314412229053178
"7-3AL",33,0.276847698839217
"7-3AL",50,0.27132986832331
"7-3AL",100,0.267063805689984
"7-3AL",200,0.259868980212974
"7-3AL",500,0.253584678611407
"7-3AL",1000,0.244703961985589
"7-3AL",2000,0.236559917181965
"7-3AL",5000,0.229461301128203
"7-3AL",10000,0.221785806126443
"7-3AL",15000,0.216749022726777
"7-3AU",0,0.318597628034888
"7-3AU",33,0.26900100659441
"7-3AU",50,0.264581159710119
"7-3AU",100,0.260137525359467
"7-3AU",200,0.251775931860747
"7-3AU",500,0.244153236575914
"7-3AU",1000,0.234915700067902
"7-3AU",2000,0.223861397313192
"7-3AU",5000,0.216142698553106
"7-3AU",10000,0.208312795770008
"7-3AU",15000,0.202293426411091
"7-3BL",0,0.327757587208148
"7-3BL",33,0.290553304643171
"7-3BL",50,0.286191726035951
"7-3BL",100,0.282509297131578
"7-3BL",200,0.274479306289459
"7-3BL",500,0.266646355847249
"7-3BL",1000,0.254752124138641
"7-3BL",2000,0.243530391906391
"7-3BL",5000,0.236311428966952
"7-3BL",10000,0.226791522794497
"7-3BL",15000,0.220605396911855
"7-3BU",0,0.321992274919539
"7-3BU",33,0.280449363674352
"7-3BU",50,0.274429857210783
"7-3BU",100,0.269963150762658
"7-3BU",200,0.261171293627433
"7-3BU",500,0.253458409651538
"7-3BU",1000,0.243349228143649
"7-3BU",2000,0.232168065177507
"7-3BU",5000,0.223987993271909
"7-3BU",10000,0.215482112810301
"7-3BU",15000,0.209370942394694
"7-3CL",0,0.313805222837389
"7-3CL",33,0.279968471957942
"7-3CL",50,0.277684608381078
"7-3CL",100,0.2725408874917
"7-3CL",200,0.26437868398806
"7-3CL",500,0.252148146005553
"7-3CL",1000,0.236667103237175
"7-3CL",2000,0.225694306915947
"7-3CL",5000,0.214833459987149
"7-3CL",10000,0.203313778263468
"7-3CL",15000,0.195640688140867
"7-3CU",0,0.325351931768131
"7-3CU",33,0.282013766143533
"7-3CU",50,0.277819461879126
"7-3CU",100,0.270359044691876
"7-3CU",200,0.265272281111934
"7-3CU",500,0.247309940464825
"7-3CU",1000,0.230476092189676
"7-3CU",2000,0.220474979284625
"7-3CU",5000,0.209863522789063
"7-3CU",10000,0.198510465506129
"7-3CU",15000,0.189219074688206
"7-4AL",0,0.324702395637504
"7-4AL",33,0.274098145018208
"7-4AL",50,0.268085318376346
"7-4AL",100,0.257518697882191
"7-4AL",200,0.246943447242541
"7-4AL",500,0.234568627671629
"7-4AL",1000,0.221395001922065
"7-4AL",2000,0.211293052597723
"7-4AL",5000,0.200948033193739
"7-4AL",10000,0.189795863370681
"7-4AL",15000,0.18006846608731
"7-4AU",0,0.32981253751441
"7-4AU",33,0.278511564877705
"7-4AU",50,0.271753442343954
"7-4AU",100,0.260553091234266
"7-4AU",200,0.247918147562059
"7-4AU",500,0.234172437493756
"7-4AU",1000,0.218806619358686
"7-4AU",2000,0.211171495458229
"7-4AU",5000,0.200617974957551
"7-4AU",10000,0.189740359477376
"7-4AU",15000,0.179651052551508
"7-4BL",0,0.331944276037796
"7-4BL",33,0.28263290865681
"7-4BL",50,0.277833213643314
"7-4BL",100,0.26999918235028
"7-4BL",200,0.262749859921851
"7-4BL",500,0.253953756581208
"7-4BL",1000,0.242951311767181
"7-4BL",2000,0.234779217322443
"7-4BL",5000,0.226994093108788
"7-4BL",10000,0.218966866636992
"7-4BL",15000,0.211046200511372
"7-4BU",0,0.331404001099717
"7-4BU",33,0.271708038093687
"7-4BU",50,0.266773960659515
"7-4BU",100,0.258002284324073
"7-4BU",200,0.250200193192573
"7-4BU",500,0.24022551918246
"7-4BU",1000,0.226462907177016
"7-4BU",2000,0.216580042796514
"7-4BU",5000,0.20887517331682
"7-4BU",10000,0.199962108510148
"7-4BU",15000,0.192116657797526
"7-4CL",0,0.335907073556761
"7-4CL",33,0.297012470781864
"7-4CL",50,0.296321052146974
"7-4CL",100,0.290599595515033
"7-4CL",200,0.28397807053013
"7-4CL",500,0.275300073262247
"7-4CL",1000,0.264637736245625
"7-4CL",2000,0.254953746623108
"7-4CL",5000,0.247629476315122
"7-4CL",10000,0.238690100148276
"7-4CL",15000,0.231640155990099
"7-4CU",0,0.324227200672622
"7-4CU",33,0.284860292470645
"7-4CU",50,0.283692286931799
"7-4CU",100,0.278474411274705
"7-4CU",200,0.271767318611865
"7-4CU",500,0.262407077699344
"7-4CU",1000,0.247775839555928
"7-4CU",2000,0.237528373531787
"7-4CU",5000,0.229428911492361
"7-4CU",10000,0.219713239609277
"7-4CU",15000,0.211758203073485
"EF21AL",0,0.329947512722115
"EF21AL",33,0.262103838999125
"EF21AL",50,0.258012029435202
"EF21AL",100,0.249798697615922
"EF21AL",200,0.240595094337329
"EF21AL",500,0.230999277719607
"EF21AL",1000,0.218431816348833
"EF21AL",2000,0.207978294069549
"EF21AL",5000,0.198529186153532
"EF21AL",10000,0.190144677911547
"EF21AL",15000,0.181783630318265
"EF21AU",0,0.318707303123129
"EF21AU",33,0.26450764880575
"EF21AU",50,0.262120162607722
"EF21AU",100,0.255170271658884
"EF21AU",200,0.246704187928857
"EF21AU",500,0.239802651789247
"EF21AU",1000,0.228301791740879
"EF21AU",2000,0.217175011030391
"EF21AU",5000,0.206932931559205
"EF21AU",10000,0.196199235481588
"EF21AU",15000,0.186137612121222
"EF21BL",0,0.309392041040744
"EF21BL",33,0.252484694050217
"EF21BL",50,0.248700650390407
"EF21BL",100,0.241849417387923
"EF21BL",200,0.235753560104125
"EF21BL",500,0.229088218477442
"EF21BL",1000,0.21855812782513
"EF21BL",2000,0.209510551111339
"EF21BL",5000,0.199673875264067
"EF21BL",10000,0.190247227874211
"EF21BL",15000,0.182211846243452
"EF21BU",0,0.318475886103437
"EF21BU",33,0.261153680706436
"EF21BU",50,0.254278248347638
"EF21BU",100,0.247816042314522
"EF21BU",200,0.243687924440819
"EF21BU",500,0.236443341680846
"EF21BU",1000,0.222966081301417
"EF21BU",2000,0.21283954913623
"EF21BU",5000,0.201649902015415
"EF21BU",10000,0.191785450931893
"EF21BU",15000,0.183389058533747
"EF21CL",0,0.311789714051951
"EF21CL",33,0.248339696822475
"EF21CL",50,0.242688265443864
"EF21CL",100,0.236083032352746
"EF21CL",200,0.231427345593879
"EF21CL",500,0.22391597576537
"EF21CL",1000,0.212795582416715
"EF21CL",2000,0.203383308176765
"EF21CL",5000,0.195150477281606
"EF21CL",10000,0.188783166032241
"EF21CL",15000,0.183128551445763
"EF21CU",0,0.313864266417208
"EF21CU",33,0.24304270838232
"EF21CU",50,0.236894743450833
"EF21CU",100,0.23090855485462
"EF21CU",200,0.226672133737077
"EF21CU",500,0.217979957697626
